"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"upper","BAU_e_h_LD-LR_2","BAU","east","heavy","LD-LR",2,"winterwheat",7.72032294356374,0.22683598860946,0.0263691480579696,74,7.66863941337012,7.77200647375736,0,0,0,74,0,0
"upper","BAU_e_h_LD-LR_3","BAU","east","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_e_h_LD-LR_4","BAU","east","heavy","LD-LR",4,"winterwheat",8.40895712758336,0.328110903289555,0.0381421177535125,74,8.33419857678648,8.48371567838024,0,0,0,74,0,0
"upper","BAU_e_h_LD-LR_5","BAU","east","heavy","LD-LR",5,"winterwheat",7.54867615188221,0.0382222001489738,0.00444324051491186,74,7.53996740047298,7.55738490329144,0,0,0,74,0,0
"upper","BAU_e_h_LD-LR_6","BAU","east","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_e_m_LD-LR_1","BAU","east","medium","LD-LR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
"lower","BAU_e_m_LD-LR_2","BAU","east","medium","LD-LR",2,"winterwheat",7.11291301980437,0.030638200912391,0.00356161851142419,74,7.10593224752198,7.11989379208676,0,0,0,74,0,0
"lower","BAU_e_m_LD-LR_3","BAU","east","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_e_m_LD-LR_4","BAU","east","medium","LD-LR",4,"winterwheat",7.85067182959553,0.0598069668316765,0.00695241867461231,74,7.83704508899329,7.86429857019777,0,0,0,74,0,0
"lower","BAU_e_m_LD-LR_5","BAU","east","medium","LD-LR",5,"winterwheat",6.73768787492914,0.00856038233726674,0.000995124233451555,74,6.73573743143158,6.7396383184267,0,0,0,74,0,0
"lower","BAU_e_m_LD-LR_6","BAU","east","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_e_m_LD-LR_1","BAU","east","medium","LD-LR",1,"winterwheat",7.817,0.123839600190499,0.0143960611051241,74,7.78878372023396,7.84521627976604,0,0,0,74,0,0
"upper","BAU_e_m_LD-LR_2","BAU","east","medium","LD-LR",2,"winterwheat",6.45920555032562,0.427287777156443,0.0496711951585317,74,6.3618500078149,6.55656109283634,0,0,0,74,0,0
"upper","BAU_e_m_LD-LR_3","BAU","east","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_e_m_LD-LR_4","BAU","east","medium","LD-LR",4,"winterwheat",6.50006981593277,0.64778731795006,0.0753037461198862,74,6.35247447353779,6.64766515832774,0,0,0,74,0,0
"upper","BAU_e_m_LD-LR_5","BAU","east","medium","LD-LR",5,"winterwheat",6.44709641608953,0.182998085621967,0.0212730953481929,74,6.40540114920707,6.48879168297199,0,0,0,74,0,0
"upper","BAU_e_m_LD-LR_6","BAU","east","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_e_l_LD-LR_1","BAU","east","light","LD-LR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"lower","BAU_e_l_LD-LR_2","BAU","east","light","LD-LR",2,"winterwheat",5.80600784042797,0.0241381728940834,0.00280600560252726,74,5.80050806944702,5.81150761140892,0,0,0,74,0,0
"lower","BAU_e_l_LD-LR_3","BAU","east","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_e_l_LD-LR_4","BAU","east","light","LD-LR",4,"winterwheat",6.41813203902463,0.0429780440449005,0.00499609613804755,74,6.40833969059405,6.4279243874552,0,0,0,74,0,0
"lower","BAU_e_l_LD-LR_5","BAU","east","light","LD-LR",5,"winterwheat",5.49985999119755,0.00623839831168695,0.000725199073277037,74,5.49843860101392,5.50128138138117,0,0,0,74,0,0
"lower","BAU_e_l_LD-LR_6","BAU","east","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_e_l_LD-LR_1","BAU","east","light","LD-LR",1,"winterwheat",6.381,0.0996757757630842,0.011587073572417,74,6.35828933579806,6.40371066420194,0,0,0,74,0,0
"upper","BAU_e_l_LD-LR_2","BAU","east","light","LD-LR",2,"winterwheat",5.28662820741402,0.342835067236608,0.0398537670448342,74,5.20851482400615,5.3647415908219,0,0,0,74,0,0
"upper","BAU_e_l_LD-LR_3","BAU","east","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_e_l_LD-LR_4","BAU","east","light","LD-LR",4,"winterwheat",5.43559773639585,0.498121381767669,0.0579054344383001,74,5.32210308489679,5.54909238789492,0,0,0,74,0,0
"upper","BAU_e_l_LD-LR_5","BAU","east","light","LD-LR",5,"winterwheat",5.28721924282422,0.13790907783321,0.0160316046594482,74,5.2557972976917,5.31864118795674,0,0,0,74,0,0
"upper","BAU_e_l_LD-LR_6","BAU","east","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_h_LD-HR_1","BAU","north","heavy","LD-HR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"lower","BAU_n_h_LD-HR_2","BAU","north","heavy","LD-HR",2,"winterwheat",7.86652221451928,0.122595226187361,0.0142514055655452,74,7.83858945961081,7.89445496942774,0,0,0,74,0,0
"lower","BAU_n_h_LD-HR_3","BAU","north","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_h_LD-HR_4","BAU","north","heavy","LD-HR",4,"winterwheat",8.33708347643644,0.150795930677438,0.0175296708734288,74,8.30272532152452,8.37144163134836,0,0,0,74,0,0
"lower","BAU_n_h_LD-HR_5","BAU","north","heavy","LD-HR",5,"winterwheat",7.42194882449666,0.070067595858255,0.00814519257097836,74,7.40598424705754,7.43791340193578,0,0,0,74,0,0
"lower","BAU_n_h_LD-HR_6","BAU","north","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_h_LD-HR_1","BAU","north","heavy","LD-HR",1,"winterwheat",8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,0,0,0,74,0,0
"upper","BAU_n_h_LD-HR_2","BAU","north","heavy","LD-HR",2,"winterwheat",5.77211024694443,0.765386322681551,0.0889743527385452,74,5.59772051557688,5.94649997831197,0,0,0,74,0,0
"upper","BAU_n_h_LD-HR_3","BAU","north","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_h_LD-HR_4","BAU","north","heavy","LD-HR",4,"winterwheat",4.26857792502504,0.543416896694383,0.063170931094216,74,4.14476290008037,4.3923929499697,0,0,0,74,0,0
"upper","BAU_n_h_LD-HR_5","BAU","north","heavy","LD-HR",5,"winterwheat",5.2095777072729,0.45231715928908,0.0525808017306675,74,5.10651933588079,5.31263607866501,0,0,0,74,0,0
"upper","BAU_n_h_LD-HR_6","BAU","north","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_m_LD-HR_1","BAU","north","medium","LD-HR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
"lower","BAU_n_m_LD-HR_2","BAU","north","medium","LD-HR",2,"winterwheat",7.01834477393722,0.0883916375284929,0.0102753191473869,74,6.99820514840834,7.0384843994661,0,0,0,74,0,0
"lower","BAU_n_m_LD-HR_3","BAU","north","medium","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_m_LD-HR_4","BAU","north","medium","LD-HR",4,"winterwheat",7.51717558120118,0.121494600078281,0.0141234603792249,74,7.4894935988579,7.54485756354446,0,0,0,74,0,0
"lower","BAU_n_m_LD-HR_5","BAU","north","medium","LD-HR",5,"winterwheat",6.64386784172015,0.0422528384906489,0.0049117927047619,74,6.63424072801881,6.65349495542148,0,0,0,74,0,0
"lower","BAU_n_m_LD-HR_6","BAU","north","medium","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_m_LD-HR_1","BAU","north","medium","LD-HR",1,"winterwheat",7.817,0.123839600190499,0.0143960611051241,74,7.78878372023396,7.84521627976604,0,0,0,74,0,0
"upper","BAU_n_m_LD-HR_2","BAU","north","medium","LD-HR",2,"winterwheat",5.4593492677207,0.655102987143282,0.0761541753894291,74,5.31008708395742,5.60861145148398,0,0,0,74,0,0
"upper","BAU_n_m_LD-HR_3","BAU","north","medium","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_m_LD-HR_4","BAU","north","medium","LD-HR",4,"winterwheat",4.27615500121175,0.543130009190607,0.0631375810993169,74,4.15240534225709,4.39990466016641,0,0,0,74,0,0
"upper","BAU_n_m_LD-HR_5","BAU","north","medium","LD-HR",5,"winterwheat",5.14837019016551,0.372078092925033,0.0432531997308385,74,5.06359391869307,5.23314646163796,0,0,0,74,0,0
"upper","BAU_n_m_LD-HR_6","BAU","north","medium","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_l_LD-HR_1","BAU","north","light","LD-HR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"lower","BAU_n_l_LD-HR_2","BAU","north","light","LD-HR",2,"winterwheat",5.73097849712465,0.0706483392276358,0.00821270261638501,74,5.71488159999654,5.74707539425277,0,0,0,74,0,0
"lower","BAU_n_l_LD-HR_3","BAU","north","light","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_n_l_LD-HR_4","BAU","north","light","LD-HR",4,"winterwheat",6.15948135094009,0.0996383005638383,0.0115827171689932,74,6.13677922528886,6.18218347659132,0,0,0,74,0,0
"lower","BAU_n_l_LD-HR_5","BAU","north","light","LD-HR",5,"winterwheat",5.42828223254562,0.0333248628273805,0.00387393661514466,74,5.42068931677994,5.43587514831131,0,0,0,74,0,0
"lower","BAU_n_l_LD-HR_6","BAU","north","light","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_l_LD-HR_1","BAU","north","light","LD-HR",1,"winterwheat",6.381,0.0996757757630842,0.011587073572417,74,6.35828933579806,6.40371066420194,0,0,0,74,0,0
"upper","BAU_n_l_LD-HR_2","BAU","north","light","LD-HR",2,"winterwheat",4.48004230439861,0.532698436389076,0.0619249353927547,74,4.35866943102881,4.60141517776841,0,0,0,74,0,0
"upper","BAU_n_l_LD-HR_3","BAU","north","light","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_l_LD-HR_4","BAU","north","light","LD-HR",4,"winterwheat",3.60901488769436,0.476010506251403,0.0553350973689756,74,3.50055809685117,3.71747167853755,0,0,0,74,0,0
"upper","BAU_n_l_LD-HR_5","BAU","north","light","LD-HR",5,"winterwheat",4.26376497311452,0.306201548867262,0.0355952070355193,74,4.1939983673249,4.33353157890413,0,0,0,74,0,0
"upper","BAU_n_l_LD-HR_6","BAU","north","light","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_h_LD-HR_1","BAU","central","heavy","LD-HR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"lower","BAU_c_h_LD-HR_2","BAU","central","heavy","LD-HR",2,"winterwheat",7.86725537159159,0.122863377723705,0.0142825775484707,74,7.83926151959659,7.89524922358659,0,0,0,74,0,0
"lower","BAU_c_h_LD-HR_3","BAU","central","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_h_LD-HR_4","BAU","central","heavy","LD-HR",4,"winterwheat",8.33745381349262,0.150681174149014,0.0175163306979692,74,8.3031218053246,8.37178582166064,0,0,0,74,0,0
"lower","BAU_c_h_LD-HR_5","BAU","central","heavy","LD-HR",5,"winterwheat",7.42308455082871,0.0697639809889988,0.00810989805933981,74,7.40718915063241,7.43897995102502,0,0,0,74,0,0
"lower","BAU_c_h_LD-HR_6","BAU","central","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_h_LD-HR_1","BAU","central","heavy","LD-HR",1,"winterwheat",8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,0,0,0,74,0,0
"upper","BAU_c_h_LD-HR_2","BAU","central","heavy","LD-HR",2,"winterwheat",5.77862446832421,0.767706094622104,0.0892440207490587,74,5.60370618765605,5.95354274899236,0,0,0,74,0,0
"upper","BAU_c_h_LD-HR_3","BAU","central","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_h_LD-HR_4","BAU","central","heavy","LD-HR",4,"winterwheat",4.26979865149434,0.542681271807927,0.0630854164381644,74,4.14615123527554,4.39344606771314,0,0,0,74,0,0
"upper","BAU_c_h_LD-HR_5","BAU","central","heavy","LD-HR",5,"winterwheat",5.21733955351062,0.452193110791381,0.0525663813857203,74,5.11430944599461,5.32036966102663,0,0,0,74,0,0
"upper","BAU_c_h_LD-HR_6","BAU","central","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
