"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
34,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.28860145855523,7.28860145855523,0
35,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.58725969732343,7.58725969732343,0
36,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.73860077041795,7.73860077041795,0
37,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.32519988838118,7.32519988838118,0
1,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.93420032371348,6.93420032371348,0
2,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.97814193478643,6.97814193478643,0
3,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.15175612524768,7.15175612524768,0
4,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.71771077309451,6.71771077309451,0
5,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.03397156190925,7.03397156190925,0
6,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.06911849902148,7.06911849902148,0
7,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.09393604664126,7.09393604664126,0
8,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.69607625220095,6.69607625220095,0
9,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.8364511812869,6.8364511812869,0
10,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.01839429563541,7.01839429563541,0
11,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.03214585429021,7.03214585429021,0
12,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.2009092050096,7.2009092050096,0
13,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.09713197809543,7.09713197809543,0
14,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.04943645104952,7.04943645104952,0
15,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.95363108274066,6.95363108274066,0
16,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.91935597902212,6.91935597902212,0
17,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.2432454142764,7.2432454142764,0
18,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.20643602303326,7.20643602303326,0
19,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.0523104803709,7.0523104803709,0
20,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.8797668344218,6.8797668344218,0
21,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.03600743813409,7.03600743813409,0
22,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.18921271920539,7.18921271920539,0
23,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.08058197489986,7.08058197489986,0
24,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.19025870377146,7.19025870377146,0
