"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","gp","gp_ci_l","gp_ci_u","oc","oc_ci_l","oc_ci_u"
"upper","CWW_upper","CWW","east","heavy","LD-HR",341.160065332988,200.004554008997,482.315576656979,-352.993614501539,-428.372093011914,-277.615135991163
"lower","CWW_lower","CWW","east","medium","LD-HR",336.249961037146,253.132586044715,419.367336029577,-310.646822890617,-448.29259840584,-173.001047375394
"upper","CWW_upper","CWW","east","medium","LD-HR",48.7687681243096,-154.162929121842,251.700465370461,-405.03046683041,-497.912144153553,-312.148789507268
"lower","CWW_lower","CWW","east","light","LD-HR",183.574572932909,114.515403559144,252.633742306675,-304.123925060268,-431.00915183479,-177.238698285746
"upper","CWW_upper","CWW","east","light","LD-HR",-51.2577541206062,-218.287989901767,115.772481660555,-386.355656216132,-455.900969278129,-316.810343154135
"lower","CWW_lower","CWW","north","heavy","HD-HR",437.371140413167,354.443849943737,520.298430882596,-340.80758462095,-474.559997335972,-207.055171905927
"upper","CWW_upper","CWW","north","heavy","HD-HR",-68.1361165321291,-188.763459301294,52.4912262370362,-501.873994379387,-645.627428608845,-358.12056014993
"lower","CWW_lower","CWW","north","medium","HD-HR",314.675693443913,245.357027878272,383.994359009554,-319.703406420118,-456.271764562706,-183.135048277531
"upper","CWW_upper","CWW","north","medium","HD-HR",-82.4677033706412,-164.626474811526,-0.308931929756199,-450.796873859988,-545.149514368156,-356.444233351819
"lower","CWW_lower","CWW","north","light","HD-HR",165.005166936077,107.256510888572,222.753822983583,-309.096900103425,-432.388016239221,-185.805783967629
"upper","CWW_upper","CWW","north","light","HD-HR",-159.472020335008,-227.63739040486,-91.3066502651558,-406.744573301765,-477.86382191365,-335.62532468988
"lower","CWW_lower","CWW","central","heavy","HD-HR",438.004596919248,355.335238974522,520.673954863974,-340.249064649576,-474.057934977059,-206.440194322094
"upper","CWW_upper","CWW","central","heavy","HD-HR",-65.1978253522628,-184.6656907999,54.2700400953744,-499.355549222423,-642.393906724281,-356.317191720565
"lower","CWW_lower","CWW","central","medium","HD-HR",315.193757129289,246.087942923964,384.299571334614,-319.185342734742,-455.783155299973,-182.587530169511
"upper","CWW_upper","CWW","central","medium","HD-HR",-79.716737682265,-160.784262352442,1.35078698791193,-448.045908171612,-541.753856979524,-354.337959363699
"lower","CWW_lower","CWW","central","light","HD-HR",165.430305146389,107.856692991036,223.003917301742,-308.671761893113,-431.991560497998,-185.351963288228
"upper","CWW_upper","CWW","central","light","HD-HR",-157.223920138924,-224.494463847933,-89.953376429914,-404.496473105681,-475.146865867397,-333.846080343964
"lower","CWW_lower","CWW","east","heavy","HD-HR",482.564244091104,418.422603580798,546.705884601409,-319.772959824189,-475.4174875916,-164.128432056779
"upper","CWW_upper","CWW","east","heavy","HD-HR",206.815747055541,181.709930188319,231.921563922763,-377.905952365256,-447.252624930631,-308.559279799881
"lower","CWW_lower","CWW","east","medium","HD-HR",315.193757129289,246.087942923964,384.299571334614,-319.185342734742,-455.783155299973,-182.587530169511
"upper","CWW_upper","CWW","east","medium","HD-HR",-79.716737682265,-160.784262352442,1.35078698791193,-448.045908171612,-541.753856979524,-354.337959363699
"lower","CWW_lower","CWW","east","light","HD-HR",165.430305146389,107.856692991036,223.003917301742,-308.671761893113,-431.991560497998,-185.351963288228
"upper","CWW_upper","CWW","east","light","HD-HR",-157.223920138924,-224.494463847933,-89.953376429914,-404.496473105681,-475.146865867397,-333.846080343964
