"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"MIT_c_h_LD-HR_2","MIT","central","heavy","LD-HR",2,"springbarley",0,0,0,74,0,0,-7.49234301714391,0.262178798411508,0.0304776662440296,74,-7.55207924298221,-7.43260679130562
"MIT_c_h_LD-HR_3","MIT","central","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_h_LD-HR_4","MIT","central","heavy","LD-HR",4,"winterwheat",8.65148452512499,0.210846350509755,0.0245103903845107,74,8.60344415997135,8.69952489027863,1.13190845586146,0.194779491734561,0.022642655989864,74,1.08752885012133,1.17628806160159
"MIT_c_h_LD-HR_5","MIT","central","heavy","LD-HR",5,"springbarley",0,0,0,74,0,0,-7.02876686740067,0.152945548196569,0.0177795588342302,74,-7.06361480271576,-6.99391893208557
"MIT_c_h_LD-HR_6","MIT","central","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_m_LD-HR_1","MIT","central","medium","LD-HR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
"MIT_c_m_LD-HR_2","MIT","central","medium","LD-HR",2,"springbarley",0,0,0,74,0,0,-6.74815065335169,0.204907881540862,0.0238200573891234,74,-6.79483796583437,-6.70146334086901
"MIT_c_m_LD-HR_3","MIT","central","medium","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_m_LD-HR_4","MIT","central","medium","LD-HR",4,"winterwheat",7.76933403638434,0.121910589956815,0.0141718182203457,74,7.74155727267247,7.79711080009622,0.87993744019802,0.177000210644637,0.0205758565445977,74,0.839608761370608,0.920266119025432
"MIT_c_m_LD-HR_5","MIT","central","medium","LD-HR",5,"springbarley",0,0,0,74,0,0,-6.39047570310301,0.108418228071209,0.0126033630100669,74,-6.41517829460275,-6.36577311160328
"MIT_c_m_LD-HR_6","MIT","central","medium","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_l_LD-HR_1","MIT","central","light","LD-HR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"MIT_c_l_LD-HR_2","MIT","central","light","LD-HR",2,"springbarley",0,0,0,74,0,0,-5.51603049642376,0.164513390934668,0.019124293237894,74,-5.55351411117003,-5.47854688167749
"MIT_c_l_LD-HR_3","MIT","central","light","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_c_l_LD-HR_4","MIT","central","light","LD-HR",4,"winterwheat",6.34121831374454,0.0991255567045019,0.0115231119060649,74,6.31863301440866,6.36380361308043,0.668287406711179,0.146505551535522,0.0170309244288654,74,0.634906794830603,0.701668018591755
"MIT_c_l_LD-HR_5","MIT","central","light","LD-HR",5,"springbarley",0,0,0,74,0,0,-5.2333556969422,0.0870739450332445,0.0101221405062238,74,-5.2531950923344,-5.21351630155
"MIT_c_l_LD-HR_6","MIT","central","light","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"MIT_e_h_LD-HR_1","MIT","east","heavy","LD-HR",1,"winterwheat",9.01,0,0,74,9.01,9.01,0.0499999999999989,0,0,74,0.0499999999999989,0.0499999999999989
