"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"lower","BAU_lower","BAU","east","light","LD-LR",4.03399997844169,1.51628172910046,6.55171822778293,0,0,0
"upper","BAU_upper","BAU","east","light","LD-LR",3.73174086443901,1.39583883781544,6.06764289106259,0,0,0
"lower","BAU_lower","BAU","east","light","LD-HR",3.96645701343506,1.49128182780582,6.4416321990643,0,0,0
"upper","BAU_upper","BAU","east","light","LD-HR",3.12230369420125,1.05112558974024,5.19348179866226,0,0,0
"lower","BAU_lower","BAU","east","light","HD-HR",3.9008327158475,1.46941619172342,6.33224923997158,0,0,0
"upper","BAU_upper","BAU","east","light","HD-HR",2.64534358764592,0.976059362953997,4.31462781233784,0,0,0
"lower","MIT_lower","MIT","north","heavy","LD-LR",4.80948954318207,0.593781396901906,9.02519768946224,-0.749378007079544,-5.96076742663694,4.46201141247785
"upper","MIT_upper","MIT","north","heavy","LD-LR",4.66098481526678,0.574068796909697,8.74790083362386,-0.27700099304952,-5.25012022492625,4.69611823882721
"lower","MIT_lower","MIT","north","heavy","LD-HR",2.94644625550621,-0.70651676434911,6.59940927536153,-2.48447949706919,-5.6866916411302,0.717732646991824
"upper","MIT_upper","MIT","north","heavy","LD-HR",2.54775670809842,-0.666316193559785,5.76182960975663,-1.46428760510864,-4.05500870438761,1.12643349417033
"lower","MIT_lower","MIT","north","heavy","HD-HR",2.69929438911072,-0.6544414629285,6.05303024114993,-2.65173966173534,-7.96248024179156,2.65900091832088
"upper","MIT_upper","MIT","north","heavy","HD-HR",1.73494864930846,-0.416107876512702,3.88600517512962,-1.7091645733064,-5.31395458094615,1.89562543433335
"lower","MIT_lower","MIT","north","medium","LD-LR",4.26740649735438,0.526858608468624,8.00795438624014,-0.672805623367124,-5.29657896228415,3.9509677155499
"upper","MIT_upper","MIT","north","medium","LD-LR",4.17837845882782,0.515527388158313,7.84122952949733,-0.358850171563497,-4.83958201582019,4.1218816726932
"lower","MIT_lower","MIT","north","medium","LD-HR",2.62282748818069,-0.628664591047779,5.87431956740917,-2.2304038779624,-5.08483993933143,0.624032183406634
"upper","MIT_upper","MIT","north","medium","LD-HR",2.34137919004386,-0.588628295452634,5.27138667554034,-1.44209988647247,-3.91239440412072,1.02819463117578
"lower","MIT_lower","MIT","north","medium","HD-HR",2.42276513762269,-0.587934586946548,5.43346486219193,-2.37042047936557,-7.12214576986646,2.38130481113532
"upper","MIT_upper","MIT","north","medium","HD-HR",1.71315013548313,-0.412088382341818,3.83838865330808,-1.6063422300292,-5.06996182080544,1.85727736074703
"lower","MIT_lower","MIT","north","light","LD-LR",3.48305713229633,0.430022232259086,6.53609203233357,-0.550942846145361,-4.324566552459,3.22268086016828
"upper","MIT_upper","MIT","north","light","LD-LR",3.4137968013924,0.421290439087937,6.40630316369686,-0.317944063046616,-3.9749027104043,3.33901458431107
"lower","MIT_lower","MIT","north","light","LD-HR",2.14664473111152,-0.514440894274109,4.80773035649715,-1.81981228232354,-4.15261983887962,0.512995274232543
"upper","MIT_upper","MIT","north","light","LD-HR",1.95940662483659,-0.482789753043509,4.40160300271669,-1.16289706936466,-3.22654376785303,0.90074962912372
"lower","MIT_lower","MIT","north","light","HD-HR",1.97731525786705,-0.47983699260632,4.43446750834042,-1.92351745798045,-5.79805086239566,1.95101594643476
"upper","MIT_upper","MIT","north","light","HD-HR",1.39772305354956,-0.336209580739028,3.13165568783815,-1.24762053409636,-4.04735355565074,1.55211248745802
"lower","MIT_lower","MIT","central","heavy","LD-LR",4.80948954318207,0.593781396901906,9.02519768946224,-0.749488316983892,-5.96093842356696,4.46196178959918
"upper","MIT_upper","MIT","central","heavy","LD-LR",4.66098481526678,0.574068796909697,8.74790083362386,-0.278594939933912,-5.25286510531103,4.69567522544321
"lower","MIT_lower","MIT","central","heavy","LD-HR",2.97193568870912,-0.712181842895077,6.65605322031332,-2.45936326727636,-5.67978129727165,0.761054762718919
"upper","MIT_upper","MIT","central","heavy","LD-HR",2.72671643858254,-0.66892789166254,6.12236076882761,-1.28791067363899,-4.09064080407172,1.51481945679374
"lower","MIT_lower","MIT","central","heavy","HD-HR",2.92199589215119,-0.700200110264498,6.54419189456688,-2.42945313920436,-5.60245947945654,0.743553201047829
"upper","MIT_upper","MIT","central","heavy","HD-HR",2.14627724989986,-0.514764891516454,4.80731939131616,-1.30016172847033,-3.72053081160568,1.12020735466503
"lower","MIT_lower","MIT","central","medium","LD-LR",4.26740649735438,0.526858608468624,8.00795438624014,-0.672805623367124,-5.29657896228415,3.9509677155499
"upper","MIT_upper","MIT","central","medium","LD-LR",4.17837845882782,0.515527388158313,7.84122952949733,-0.358850171563497,-4.83958201582019,4.1218816726932
"lower","MIT_lower","MIT","central","medium","LD-HR",2.63932931960371,-0.632436165347823,5.91109480455524,-2.21390204653938,-5.07964858893781,0.651844495859048
"upper","MIT_upper","MIT","central","medium","LD-HR",2.4833582838165,-0.600639870388103,5.56735643802111,-1.30012079269982,-3.93089411545188,1.33065253005224
"lower","MIT_lower","MIT","central","medium","HD-HR",2.59931531119712,-0.623012799057812,5.82164342145205,-2.19387030579114,-5.02695511237434,0.639214500792049
"upper","MIT_upper","MIT","central","medium","HD-HR",1.98686068951085,-0.482441136658698,4.4561625156804,-1.33263167600148,-3.66833590947115,1.00307255746818
"lower","MIT_lower","MIT","central","light","LD-LR",3.48305945665955,0.43002252161729,6.53609639170181,-0.550940521782142,-4.32456489832026,3.22268385475598
