"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
6,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.85238897770966,7.85238897770966,0
7,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.9590342852681,7.9590342852681,0
8,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.19655664418081,7.19655664418081,0
9,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.29939821375581,7.29939821375581,0
10,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.65497412071612,7.65497412071612,0
11,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.36958525769592,7.36958525769592,0
12,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.61719081746438,7.61719081746438,0
13,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.47940444627999,7.47940444627999,0
14,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.76798073459773,7.76798073459773,0
15,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.25705311037512,7.25705311037512,0
16,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.48961686160581,7.48961686160581,0
17,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.69626963287423,7.69626963287423,0
18,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.66439362569093,7.66439362569093,0
19,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.78538642851585,7.78538642851585,0
20,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.27665755607368,7.27665755607368,0
21,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.27684019955515,7.27684019955515,0
22,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.39108031660661,7.39108031660661,0
23,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.13967908644795,7.13967908644795,0
24,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.4044247909745,7.4044247909745,0
25,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.54004517639364,7.54004517639364,0
26,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.5605067426061,7.5605067426061,0
27,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.3509439894702,7.3509439894702,0
28,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.27577477251434,7.27577477251434,0
29,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.50299751556546,7.50299751556546,0
30,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.99193445282781,7.99193445282781,0
31,"BAU_n_h_VD-HR_4","BAU","VD-HR","n_h_VD-HR","north","heavy",4,"winterwheat",7.1595616001796,7.1595616001796,0
