"scenario","year","initDR3","mds","mds_95ci_l","mds_95ci_u","hvh","hvh_95ci_l","hvh_95ci_u","pdec","pdec_95ci_l","pdec_95ci_u","pinc","pinc_95ci_l","pinc_95ci_u","mds_diff","mds_diff_95ci_l","mds_diff_95ci_u","hvh_diff","hvh_diff_95ci_l","hvh_diff_95ci_u"
"CWW",4,"LD-LR",2.60538123714402,2.46938239752574,2.74138007676231,0.179763210158248,0.138875828667126,0.220650591649369,0.593370997135089,0.524518955434137,0.662223038836042,0.179763210158248,0.138875828667126,0.220650591649369,-0.39247756556338,-0.442144721891204,-0.342810409235556,-0.129654751384177,-0.156046847859649,-0.103262654908706
"CWW",5,"LD-LR",2.64578339490561,2.49986675903998,2.79170003077125,0.196607593975935,0.151542849913383,0.241672338038488,0.577671970549989,0.505679093254487,0.649664847845492,0.196607593975935,0.151542849913383,0.241672338038488,0.365585063309938,0.330450595602645,0.400719531017231,0.122142598842975,0.0979227690494786,0.146362428636471
"CWW",6,"LD-LR",2.66120931624289,2.51094302871496,2.81147560377082,0.203455563972316,0.156636562902962,0.250274565041671,0.572137577961473,0.498810779411896,0.645464376511049,0.203455563972316,0.156636562902962,0.250274565041671,-0.788858253313867,-0.866122815745727,-0.711593690882007,-0.282339136452478,-0.324096954556488,-0.240581318348469
"CWW",1,"LD-HR",2.1,2.1,2.1,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0
"CWW",2,"LD-HR",2.93427434425166,2.82361428166958,3.04493440683373,0.281718202171371,0.240979509686984,0.322456894655758,0.414893572876339,0.363122610423563,0.466664535329116,0.281718202171371,0.240979509686984,0.322456894655758,-0.317822623664255,-0.330858667340513,-0.304786579987996,-0.126829428212549,-0.135851821670136,-0.117807034754963
"CWW",3,"LD-HR",3.43378485657924,3.25724315831313,3.61032655484536,0.481083139619573,0.410913520468568,0.551252758770579,0.247747463357439,0.185422469937926,0.310072456776952,0.481083139619573,0.410913520468568,0.551252758770579,-1.04951007501844,-1.11653955031439,-0.982480599722493,-0.390802447348545,-0.424185717812469,-0.357419176884621
"CWW",4,"LD-HR",3.66048747718829,3.4603190414066,3.86065591296998,0.573440778766874,0.49433407849517,0.652547479038577,0.195109062072015,0.133245641649502,0.256972482494528,0.573440778766874,0.49433407849517,0.652547479038577,-0.420188891665209,-0.454077507953556,-0.386300275376861,-0.180875340498885,-0.192906347758147,-0.168844333239622
"CWW",5,"LD-HR",3.75579823878732,3.5486003825104,3.96299609506425,0.611340255803521,0.529983631946695,0.692696879660347,0.174417014876555,0.113565322471972,0.235268707281139,0.611340255803521,0.529983631946695,0.692696879660347,0.48560375886828,0.454973909581951,0.516233608154608,0.196591563876847,0.180108502874981,0.213074624878713
"CWW",6,"LD-HR",3.79143352540406,3.58232881759077,4.00053823321734,0.625707438679119,0.543800047416089,0.707614829942149,0.16661066520717,0.10621395838785,0.22700737202649,0.625707438679119,0.543800047416089,0.707614829942149,-0.709396124299808,-0.78022005935104,-0.638572189248577,-0.253550545689773,-0.288550613845798,-0.218550477533749
"CWW",1,"HD-HR",3.3,3.3,3.3,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.5,0.5,0,0,0,0,0,0
"CWW",2,"HD-HR",3.51136191611539,3.39485603883378,3.627867793397,0.525386019624409,0.479543172348813,0.571228866900004,0.24315410297495,0.209745862618667,0.276562343331232,0.525386019624409,0.479543172348813,0.571228866900004,-0.250147290212572,-0.273420201841547,-0.226874378583597,-0.0934569465538018,-0.102562946923764,-0.0843509461838394
"CWW",3,"HD-HR",3.69208119542089,3.51856712490212,3.86559526593966,0.586736140416619,0.517354589277542,0.656117691555696,0.178070223405234,0.127585721096662,0.228554725713806,0.586736140416619,0.517354589277542,0.656117691555696,-0.913727021318065,-0.993562418180993,-0.833891624455136,-0.320992075228049,-0.361866257402016,-0.280117893054082
"CWW",4,"HD-HR",3.77403016689842,3.57804034720205,3.97001998659478,0.619292286387064,0.541698757916279,0.69688581485785,0.164062296894913,0.1082314483472,0.219893145442627,0.619292286387064,0.541698757916279,0.69688581485785,-0.306178074799412,-0.341163428318824,-0.271192721279999,-0.137577274970641,-0.148999672766706,-0.126154877174575
"CWW",5,"HD-HR",3.8063793278847,3.60215467927912,4.01060397649028,0.631873820394455,0.551593836668715,0.712153804120195,0.16010394309727,0.102214432585957,0.217993453608582,0.631873820394455,0.551593836668715,0.712153804120195,0.594214861196053,0.550436207655225,0.637993514736882,0.242688924201788,0.220808031847728,0.264569816555848
"CWW",6,"HD-HR",3.81432052982857,3.60697462903609,4.02166643062105,0.635077940010306,0.553800079387385,0.716355800633228,0.159873378421635,0.100918409020868,0.218828347822401,0.635077940010306,0.553800079387385,0.716355800633228,-0.672538259882151,-0.734693561904384,-0.610382957859919,-0.240571880509516,-0.27314960188685,-0.207994159132182
