"scenario","initdenres_collapsed","soiltype","region","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"CWW","LD-HR","medium","north",6.40062135451459,5.94097427191376,6.86026843711542,1.88289661291485,-0.775557812051333,4.54135103788103
"CWW","LD-HR","medium","central",6.40620211499214,5.94891513186101,6.86348909812328,1.8884773733924,-0.770764003410173,4.54771875019498
"CWW","LD-HR","medium","east",6.40620211499214,5.94891513186101,6.86348909812328,1.8884773733924,-0.770764003410173,4.54771875019498
"CWW","LD-HR","light","north",5.22569020194165,4.85078906527498,5.60059133860832,1.52609805956494,-0.652449256541961,3.70464537567184
"CWW","LD-HR","light","central",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
"CWW","LD-HR","light","east",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
"CWW","HD-HR","heavy","north",7.06766630449045,6.48449498963897,7.65083761934193,2.03757893125123,-0.895367105177688,4.97052496768015
"CWW","HD-HR","heavy","central",7.07419505676111,6.49374167602939,7.65464843749283,2.04326229157289,-0.891108537794113,4.9776331209399
"CWW","HD-HR","heavy","east",7.58428050584209,7.22285494589093,7.94570606579325,2.27444880538052,-0.919906567429353,5.4688041781904
"CWW","HD-HR","medium","north",6.40062135451459,5.94097427191376,6.86026843711542,1.84263134404394,-0.842695453202102,4.52795814128998
"CWW","HD-HR","medium","central",6.40620211499214,5.94891513186101,6.86348909812328,1.84821210452149,-0.837881755005216,4.5343059640482
"CWW","HD-HR","medium","east",6.40620211499214,5.94891513186101,6.86348909812328,1.84821210452149,-0.837881755005216,4.5343059640482
"CWW","HD-HR","light","north",5.22569020194165,4.85078906527498,5.60059133860832,1.52609805956494,-0.652449256541961,3.70464537567184
"CWW","HD-HR","light","central",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
"CWW","HD-HR","light","east",5.23022637555486,4.85724354325491,5.60320920785481,1.53063423317815,-0.648545816125792,3.7098142824821
